record_id,show_no,ring_no,ring_name,ring_display,priority,active
rec49a6FWHtrmZs4k,14906,691,INDOOR 4 - Lucy,INDOOR 4 - Lucy,,1
rec80qovSB0UvOZep,14906,742,STADIUM,STADIUM,,1
recLpYWCRxBEPGXpM,14906,687,INDOOR 6 - Brandon,INDOOR 6 - Brandon,,1
recUbrvF7wkfPdFYC,14906,741,ANNEX RING - Matt,ANNEX RING - Matt,,1
recX3iLPIxCumtIpR,14906,690,INDOOR 3,INDOOR 3,,1
recbIfaR987YLeOAi,14906,686,WEC GRAND ARENA,WEC GRAND ARENA,,1
recbtp3vCFG3g21jJ,14906,685,INDOOR 5,INDOOR 5,,1
reciXxIicTUg0rqJb,14906,689,INDOOR 2 - Tracey,INDOOR 2 - Tracey,,1
recs89ouqGsLmJXfj,14906,688,INDOOR 1 - Sarah,INDOOR 1 - Sarah,,1
recxErrvgJipUHWiQ,14906,751,HUNTER 2 - Jo,HUNTER 2 - Jo,,1
